v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
94.9,,Jan-15,Jan-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.0,,Feb-15,Feb-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.6,,Mar-15,Mar-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.7,,Apr-15,Apr-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.9,,May-15,May-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
96.0,,Jun-15,Jun-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
96.0,,Jul-15,Jul-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
94.7,,Aug-15,Aug-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.9,,Sep-15,Sep-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
96.2,,Oct-15,Oct-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.0,,Nov-15,Nov-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.3,,Dec-15,Dec-15,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.6,,Jan-16,Jan-16,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.9,,Feb-16,Feb-16,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.0,,Mar-16,Mar-16,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.3,,Apr-16,Apr-16,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.3,,May-16,May-16,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.0,,Jun-16,Jun-16,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
