"Title","Sterling effective exchange rate index: Monthly average (Jan 2005=100)"
"CDID","BK67"
"Source dataset ID","MRET"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","12-09-2025"
"Next release","16 October 2025"
"Important notes",
"1980",""
"1981",""
"1982",""
"1983",""
"1984",""
"1985",""
"1986",""
"1987",""
"1988",""
"1989",""
"1990",""
"1991",""
"1992",""
"1993",""
"1994",""
"1995",""
"1996",""
"1997","95.7465"
"1998","99.4942"
"1999","98.8548"
"2000","100.6651"
"2001","99.0634"
"2002","100.2247"
"2003","96.7716"
"2004","101.5860"
"2005","100.3778"
"2006","101.2497"
"2007","103.7162"
"2008","91.1358"
"2009","80.6333"
"2010","80.3944"
"2011","79.9439"
"2012","83.0088"
"2013","81.4059"
"2014","86.9354"
"2015","91.3813"
"2016","81.9531"
"2017","77.3065"
"2018","78.4221"
"2019","78.0699"
"2020","78.0010"
"2021","81.4018"
"2022","79.6443"
"2023","80.4378"
"2024","83.5344"
"1980 Q1",""
"1980 Q2",""
"1980 Q3",""
"1980 Q4",""
"1981 Q1",""
"1981 Q2",""
"1981 Q3",""
"1981 Q4",""
"1982 Q1",""
"1982 Q2",""
"1982 Q3",""
"1982 Q4",""
"1983 Q1",""
"1983 Q2",""
"1983 Q3",""
"1983 Q4",""
"1984 Q1",""
"1984 Q2",""
"1984 Q3",""
"1984 Q4",""
"1985 Q1",""
"1985 Q2",""
"1985 Q3",""
"1985 Q4",""
"1986 Q1",""
"1986 Q2",""
"1986 Q3",""
"1986 Q4",""
"1987 Q1",""
"1987 Q2",""
"1987 Q3",""
"1987 Q4",""
"1988 Q1",""
"1988 Q2",""
"1988 Q3",""
"1988 Q4",""
"1989 Q1",""
"1989 Q2",""
"1989 Q3",""
"1989 Q4",""
"1990 Q1",""
"1990 Q2",""
"1990 Q3",""
"1990 Q4",""
"1991 Q1",""
"1991 Q2",""
"1991 Q3",""
"1991 Q4",""
"1992 Q1",""
"1992 Q2",""
"1992 Q3",""
"1992 Q4",""
"1993 Q1",""
"1993 Q2",""
"1993 Q3",""
"1993 Q4",""
"1994 Q1",""
"1994 Q2",""
"1994 Q3",""
"1994 Q4",""
"1995 Q1",""
"1995 Q2",""
"1995 Q3",""
"1995 Q4",""
"1996 Q1",""
"1996 Q2",""
"1996 Q3",""
"1996 Q4",""
"1997 Q1","92.5726"
"1997 Q2","94.8728"
"1997 Q3","97.1647"
"1997 Q4","98.3758"
"1998 Q1","100.4944"
"1998 Q2","100.3815"
"1998 Q3","100.0379"
"1998 Q4","97.0630"
"1999 Q1","97.1520"
"1999 Q2","99.0586"
"1999 Q3","98.6712"
"1999 Q4","100.5375"
"2000 Q1","102.2035"
"2000 Q2","100.9823"
"2000 Q3","99.3371"
"2000 Q4","100.1377"
"2001 Q1","98.1356"
"2001 Q2","99.2273"
"2001 Q3","99.2594"
"2001 Q4","99.6313"
"2002 Q1","100.1794"
"2002 Q2","99.2276"
"2002 Q3","100.4933"
"2002 Q4","100.9985"
"2003 Q1","98.3904"
"2003 Q2","95.8185"
"2003 Q3","95.5756"
"2003 Q4","97.3017"
"2004 Q1","101.6172"
