iter	RMSE
0	3.497808789
1	3.299013852
2	3.14928399
3	2.998615306
4	2.85990374
5	2.700482417
6	2.566146184
7	2.457088273
8	2.33954621
9	2.226306846
10	2.137207731
11	2.064926383
12	1.996104827
13	1.909103142
14	1.840759084
15	1.783281529
16	1.735813566
17	1.690739928
18	1.646552428
19	1.603898801
20	1.58523349
21	1.543459342
22	1.504955246
23	1.476803909
24	1.443379417
25	1.416145795
26	1.394420416
27	1.382671207
28	1.366133799
29	1.342089882
30	1.319840825
31	1.298814214
32	1.281533889
33	1.263727104
34	1.245754908
35	1.232729926
36	1.211301348
37	1.197006398
38	1.177464633
39	1.167414465
40	1.158450688
41	1.144730902
42	1.137176108
43	1.126999213
44	1.12257396
45	1.107650796
46	1.094679885
47	1.090885664
48	1.076844798
49	1.067420396
50	1.061786896
51	1.056055165
52	1.045570301
53	1.037899994
54	1.02638626
55	1.020209723
56	1.014657398
57	1.006652857
58	0.9985548941
59	0.9896664221
60	0.9825524875
61	0.9738574046
62	0.9679510734
63	0.9574774273
64	0.9515012111
65	0.9447291004
66	0.9388290363
67	0.9331362619
68	0.9270813383
69	0.9236756896
70	0.9196782985
71	0.9140586128
72	0.910603159
73	0.899617138
74	0.8942551267
75	0.8908281594
76	0.8826945479
77	0.8749262272
78	0.8727428784
79	0.8696201201
80	0.8647248098
81	0.8591925749
82	0.8559902015
83	0.8474936708
84	0.8450838932
85	0.8394543222
86	0.8307770235
87	0.8287888604
88	0.8237116469
89	0.8205217481
90	0.8164602352
91	0.8087106536
92	0.8064645672
93	0.8043223102
94	0.7993544496
95	0.7939556081
96	0.79145829
97	0.7855941596
98	0.783396389
99	0.7772663479
100	0.7752347639
101	0.7707985672
102	0.7687839494
103	0.7638041239
104	0.7598162532
105	0.7554065502
106	0.7537528547
107	0.7522789538
108	0.7469575593
109	0.7433784379
110	0.7422785987
111	0.7394259349
112	0.7378982251
113	0.736298415
114	0.7334087224
115	0.7272682959
116	0.7235544888
117	0.7219515504
118	0.7204200948
119	0.7141718536
120	0.7129750815
121	0.7115738445
122	0.7079247199
123	0.7044964694
124	0.6991769605
125	0.6926616341
126	0.6899762296
127	0.685350839
128	0.6824318163
129	0.6785082976
130	0.6775017486
131	0.6730908268
132	0.6724128274
133	0.6702087274
134	0.6674581124
135	0.6633391103
136	0.6581149072
137	0.6572767732
138	0.6559454519
139	0.6515319061
140	0.6477588382
141	0.6469375718
142	0.6425027505
143	0.6388398206
144	0.637511978
145	0.6368586091
146	0.6331169657
147	0.6293775584
148	0.625719063
149	0.624264557
150	0.6209602737
151	0.617967947
152	0.6135792777
153	0.6094770352
154	0.6078083051
155	0.6048997569
156	0.6037946124
157	0.6024669925
158	0.5999258465
159	0.5991551545
160	0.594547451
161	0.5909229136
162	0.5902366729
163	0.5868579021
164	0.586168129
165	0.5832620072
166	0.5827464256
167	0.5791592312
168	0.5757984231
169	0.5746456921
170	0.5715063862
171	0.5709445836
172	0.5694789174
173	0.5688806181
174	0.5653424027
175	0.5634300634
176	0.56129372
177	0.5586727423
178	0.5575384298
179	0.5541487337
180	0.5522326375
181	0.5510100121
182	0.5479069429
