iter	Passed	Remaining
0	0	170
1	0	154
2	0	142
3	1	134
4	1	129
5	1	123
6	1	121
7	1	119
8	2	117
9	2	116
10	2	115
11	2	114
12	3	119
13	3	120
14	3	120
15	4	121
16	4	121
17	4	123
18	4	122
19	5	122
20	5	119
21	5	118
22	5	118
23	6	119
24	6	118
25	6	118
26	6	117
27	6	115
28	7	114
29	7	113
30	7	112
31	7	112
32	7	111
33	8	110
34	8	110
35	8	109
36	8	109
37	8	108
38	9	108
39	9	108
40	9	108
41	9	107
42	10	107
43	10	107
44	10	106
45	10	106
46	10	105
47	11	105
48	11	104
49	11	104
50	11	104
51	12	103
52	12	103
53	12	103
54	12	102
55	12	102
56	13	102
57	13	101
58	13	101
59	13	101
60	14	101
61	14	101
62	14	101
63	14	101
64	15	101
65	15	101
66	15	101
67	16	101
68	16	102
69	16	102
70	16	102
71	17	102
72	17	102
73	17	102
74	18	102
75	18	101
76	18	101
77	18	101
78	19	101
79	19	101
80	19	101
81	19	101
82	20	101
83	20	102
84	21	102
85	21	103
86	21	103
87	22	104
88	22	104
89	22	104
90	23	104
91	23	104
92	23	103
93	24	103
94	24	103
95	24	103
96	25	104
97	25	103
98	25	103
99	25	103
100	26	103
101	26	102
102	26	102
103	26	102
104	27	101
105	27	101
106	27	101
107	27	101
108	28	100
109	28	100
110	28	100
111	28	99
112	29	99
113	29	99
114	29	99
115	29	98
116	30	98
117	30	98
118	30	97
119	30	97
120	30	97
121	31	96
122	31	96
123	31	95
124	31	95
125	32	95
126	32	94
127	32	94
128	32	94
129	32	93
130	33	93
131	33	92
132	33	92
133	34	92
134	34	92
135	34	92
136	34	92
137	34	91
138	35	91
139	35	90
140	35	90
141	35	90
142	35	89
143	36	89
144	36	89
145	36	88
146	36	88
147	37	88
148	37	87
149	37	87
150	37	87
151	38	87
152	38	86
153	38	86
154	38	86
155	39	86
156	39	85
157	39	85
158	39	85
159	39	84
160	40	84
161	40	84
162	40	84
163	41	84
164	41	83
165	41	83
166	41	83
167	41	82
168	42	82
169	42	82
170	42	81
171	42	81
172	43	81
173	43	81
174	43	80
175	43	80
176	44	80
177	44	80
178	44	79
179	44	79
180	45	79
181	45	79
182	45	78
183	45	78
184	45	78
185	46	77
186	46	77
187	46	77
188	46	77
189	47	76
190	47	76
191	47	76
192	47	75
193	47	75
194	48	75
195	48	75
196	48	74
197	48	74
198	49	74
199	49	74
200	49	73
201	49	73
202	50	73
203	50	72
204	50	72
205	50	72
206	50	72
207	51	71
208	51	71
209	51	71
210	51	70
211	51	70
212	52	70
213	52	70
214	52	69
215	52	69
216	53	69
217	53	68
218	53	68
219	53	68
220	54	68
221	54	67
222	54	67
223	54	67
224	54	67
225	55	66
226	55	66
227	55	66
228	55	66
229	56	65
230	56	65
231	56	65
232	56	65
233	57	64
234	57	64
235	57	64
236	57	64
237	57	63
238	58	63
239	58	63
240	58	62
241	58	62
242	59	62
243	59	62
244	59	61
245	59	61
246	59	61
247	60	61
248	60	60
249	60	60
250	60	60
251	61	60
252	61	59
253	61	59
254	61	59
255	61	59
256	62	58
257	62	58
258	62	58
259	62	58
260	63	57
261	63	57
262	63	57
263	64	57
264	64	56
265	64	56
266	64	56
267	64	56
268	65	55
269	65	55
270	65	55
271	65	55
272	66	54
273	66	54
274	66	54
275	66	54
276	66	53
277	67	53
278	67	53
279	67	53
280	67	52
281	68	52
282	68	52
283	68	52
284	68	51
285	68	51
286	69	51
287	69	51
288	69	50
289	69	50
290	69	50
291	70	50
292	70	49
293	70	49
294	70	49
295	71	49
296	71	48
297	71	48
298	71	48
299	72	48
300	72	47
301	72	47
302	72	47
303	73	47
304	73	46
305	73	46
306	73	46
